date,pollster,n,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
2/14/24,Verity Insights,1486,0.345,0.354,0.1939999999999999,0.047,,0.06
2/12/24,Mandate Metrics,1916,0.292,0.332,0.2239999999999999,0.076,,0.076
2/12/24,DemocracyMeter,713,0.33,0.37,0.18,0.08,,0.05
2/11/24,Civic Pulse,2552,0.33,0.3,0.2,0.1,,0.07
2/10/24,Policy Voice Polling,1511,0.3229999999999999,0.34,0.186,0.108,,0.043
2/10/24,Mawmsey Reports,3144,0.3279999999999999,0.324,0.1989999999999999,0.083,,0.065
2/9/24,Bardi University,666,0.3279999999999999,0.305,0.223,,,0.145
2/7/24,Verity Insights,1521,0.341,0.307,0.175,0.088,,0.09
2/7/24,Capitol Opinion Research,1020,0.29600000000000004,0.37200000000000005,0.204,0.10400000000000001,,0.025
2/5/24,DemocracyMeter,702,0.32,0.33,0.21,0.08,,0.06
2/3/24,Policy Voice Polling,1475,0.312,0.3379999999999999,0.201,0.086,0.023,0.039
2/3/24,Bardi University,697,0.289,0.341,0.231,,,0.139
2/1/24,Pulse Analytics,2085,0.319,0.332,0.2,0.102,,0.048
1/31/24,Verity Insights,1452,0.296,0.366,0.2019999999999999,0.055,,0.081
1/29/24,Mandate Metrics,1930,0.3379999999999999,0.347,0.203,,,0.1119999999999999
1/29/24,DemocracyMeter,759,0.29,0.35,0.2,0.06,,0.09
1/28/24,Civic Pulse,2531,0.33,0.32,0.2,0.07,,0.08
1/28/24,Bardi University,669,0.304,0.364,0.1889999999999999,,,0.143
1/27/24,Policy Voice Polling,1466,0.316,0.351,0.173,0.085,0.038,0.037
1/26/24,University of Bellville-sur-Mer,1627,0.318,0.311,0.205,0.064,0.0409999999999999,0.06
1/26/24,University of Bellville-sur-Mer,1627,0.332,0.325,0.214,0.067,,0.063
1/24/24,Verity Insights,1545,0.303,0.381,0.181,0.052,,0.0819999999999999
1/24/24,Capitol Opinion Research,1009,0.294,0.35,0.171,0.071,,0.11599999999999999
1/22/24,DemocracyMeter,740,0.33,0.33,0.2,0.06,,0.08
1/22/24,Bardi University,656,0.295,0.336,0.212,0.083,,0.075
1/20/24,Policy Voice Polling,1538,0.336,0.342,0.179,0.065,,0.078
1/18/24,Pulse Analytics,2164,0.315,0.3379999999999999,0.2019999999999999,0.0579999999999999,,0.087
1/17/24,Verity Insights,1541,0.302,0.301,0.241,0.057,,0.099
1/16/24,Bardi University,710,0.313,0.302,0.176,0.054,,0.155
1/15/24,Mandate Metrics,2031,0.335,0.299,0.191,0.107,,0.068
1/15/24,DemocracyMeter,742,0.3,0.34,0.18,0.09,,0.09
1/14/24,Civic Pulse,2640,0.31,0.31,0.19,0.07,,0.11
1/13/24,Policy Voice Polling,1441,0.266,0.36,0.204,0.059,,0.111
1/11/24,Mawmsey Reports,3076,0.351,0.308,0.191,0.07,,0.08
1/10/24,Verity Insights,1473,0.315,0.31,0.211,0.076,,0.089
1/10/24,Capitol Opinion Research,997,0.304,0.332,0.17800000000000002,0.047,,0.138
1/10/24,Bardi University,679,0.314,0.303,0.181,0.1169999999999999,,0.085
1/8/24,DemocracyMeter,738,0.34,0.33,0.2,0.06,,0.07
1/6/24,Policy Voice Polling,1470,0.34,0.318,0.17,0.055,,0.1169999999999999
1/4/24,Pulse Analytics,2064,0.306,0.313,0.207,0.0819999999999999,0.0289999999999999,0.064
1/4/24,Bardi University,659,0.324,0.3339999999999999,0.179,0.065,,0.098
12/30/23,Policy Voice Polling,1391,0.318,0.341,0.177,0.088,0.0289999999999999,0.049
12/18/23,Mandate Metrics,1944,0.37,0.321,0.126,0.103,0.026,0.054
12/18/23,DemocracyMeter,756,0.37,0.29,0.13,0.1,0.05,0.06
12/17/23,Civic Pulse,2662,0.37,0.34,0.11,0.1,0.03,0.04
12/17/23,Bardi University,704,0.385,0.302,0.088,0.098,,0.127
12/16/23,Policy Voice Polling,1519,0.387,0.3329999999999999,0.104,0.1119999999999999,0.027,0.038
12/13/23,Verity Insights,1584,0.385,0.294,0.126,0.129,0.034,0.033
12/13/23,Capitol Opinion Research,1039,0.38799999999999996,0.301,0.11800000000000001,0.11,0.018000000000000002,0.065
12/12/23,Mawmsey Reports,3097,0.372,0.326,0.087,0.118,0.031,0.067
12/11/23,DemocracyMeter,729,0.35,0.33,0.13,0.12,0.05,0.02
12/11/23,Bardi University,699,0.342,0.33,,0.128,0.062,0.138
12/9/23,Policy Voice Polling,1525,0.356,0.291,0.0969999999999999,0.1369999999999999,0.053,0.065
12/7/23,Pulse Analytics,1999,0.421,0.309,0.077,0.091,0.057,0.046
12/6/23,Verity Insights,1539,0.385,0.291,,0.138,0.061,0.125
12/5/23,Bardi University,680,0.385,0.308,,0.143,0.049,0.115
12/4/23,Mandate Metrics,1922,0.3979999999999999,0.293,0.066,0.114,0.066,0.063
12/4/23,DemocracyMeter,758,0.42,0.32,0.06,0.12,0.02,0.05
12/3/23,Civic Pulse,2556,0.38,0.29,0.06,0.14,0.1,0.04
12/2/23,Policy Voice Polling,1465,0.39,0.298,0.055,0.1169999999999999,0.069,0.07
12/1/23,University of Bellville-sur-Mer,1635,0.385,0.34,0.085,0.114,0.0559999999999999,0.021
11/29/23,Verity Insights,1477,0.385,0.308,0.07,0.13,0.044,0.063
11/29/23,Capitol Opinion Research,981,0.368,0.32299999999999995,0.086,0.092,0.07,0.061
11/29/23,Bardi University,676,0.379,0.317,,0.081,0.0819999999999999,0.141
11/27/23,DemocracyMeter,710,0.35,0.32,,0.14,0.12,0.08
11/25/23,Policy Voice Polling,1506,0.369,0.341,0.061,0.092,0.113,0.023
11/23/23,Pulse Analytics,2096,0.4029999999999999,0.32,0.03,0.1369999999999999,0.074,0.036
11/23/23,Bardi University,677,0.3979999999999999,0.335,,0.084,0.092,0.091
11/22/23,Verity Insights,1529,0.402,0.306,0.046,0.087,0.095,0.064
11/20/23,Mandate Metrics,2020,0.358,0.337,,0.1169999999999999,0.084,0.104
11/20/23,DemocracyMeter,733,0.34,0.29,,0.11,0.15,0.1
11/19/23,Civic Pulse,2569,0.38,0.32,0.02,0.09,0.15,0.04
11/18/23,Policy Voice Polling,1419,0.638,0.286,0.038,0.152,0.098,0.057
11/17/23,Bardi University,686,0.35,0.314,,0.13,0.108,0.099
11/15/23,Verity Insights,1515,0.318,0.3229999999999999,0.05,0.124,0.121,0.065
11/15/23,Capitol Opinion Research,1000,0.326,0.331,0.09300000000000001,0.141,0.044000000000000004,0.064
11/13/23,DemocracyMeter,765,0.34,0.31,,0.15,0.1,0.1
11/12/23,Mawmsey Reports,3065,0.384,0.314,,0.123,0.1009999999999999,0.077
11/11/23,Policy Voice Polling,1519,0.345,0.33,0.037,0.15,0.1,0.037
11/11/23,Bardi University,689,0.345,0.308,,0.126,0.109,0.1119999999999999
11/9/23,Pulse Analytics,2094,0.344,0.306,0.057,0.133,0.136,0.025
11/8/23,Verity Insights,1563,0.327,0.316,0.059,0.153,0.131,0.0139999999999999
11/6/23,Mandate Metrics,1950,0.352,0.3339999999999999,,0.151,0.09,0.073
11/6/23,DemocracyMeter,749,0.31,0.32,,0.15,0.11,0.11
11/5/23,Civic Pulse,2559,0.35,0.32,0.02,0.15,0.1,0.07
11/5/23,Bardi University,650,0.327,0.318,,0.2,,0.155
11/4/23,Policy Voice Polling,1398,0.3389999999999999,0.3389999999999999,0.047,0.139,0.123,0.012
11/3/23,University of Bellville-sur-Mer,1556,0.337,0.313,0.071,0.151,0.091,0.036
11/1/23,Verity Insights,1473,0.321,0.326,,0.14,0.1009999999999999,0.1119999999999999
11/1/23,Capitol Opinion Research,1053,0.355,0.32299999999999995,,0.131,0.09699999999999999,0.09300000000000001
10/30/23,DemocracyMeter,713,0.32,0.33,,0.13,0.1,0.11
10/30/23,Bardi University,669,0.3229999999999999,0.325,,0.161,0.109,0.083
10/28/23,Policy Voice Polling,1469,0.296,0.37,0.068,0.166,0.06,0.04
10/26/23,Pulse Analytics,2002,0.296,0.324,,0.166,0.094,0.12
10/25/23,Verity Insights,1499,0.273,0.351,0.07,0.192,0.0579999999999999,0.055
10/24/23,Bardi University,706,0.292,0.373,,0.134,0.127,0.074
10/23/23,Mandate Metrics,1894,0.281,0.347,0.057,0.162,0.115,0.038
10/23/23,DemocracyMeter,724,0.3,0.35,,0.15,0.09,0.1
10/22/23,Civic Pulse,2769,0.27,0.37,,0.2,0.08,0.07
10/21/23,Policy Voice Polling,1404,0.305,0.348,0.08,0.147,0.086,0.035
10/18/23,Verity Insights,1488,0.3289999999999999,0.3829999999999999,,0.1369999999999999,0.068,0.083
10/18/23,Capitol Opinion Research,1048,0.292,0.363,0.035,0.161,0.1,0.049
10/18/23,Bardi University,709,0.32,0.376,,0.141,0.085,0.078
10/16/23,DemocracyMeter,724,0.32,0.36,,0.13,0.12,0.06
10/14/23,Policy Voice Polling,1427,0.296,0.3879999999999999,,0.176,0.077,0.063
10/13/23,Mawmsey Reports,3154,0.303,0.377,,0.151,0.086,0.083
10/12/23,Pulse Analytics,2033,0.3229999999999999,0.37,,0.128,0.086,0.093
10/12/23,Bardi University,683,0.307,0.405,,0.1169999999999999,,0.171
10/11/23,Verity Insights,1576,0.3329999999999999,0.389,,0.156,0.0559999999999999,0.066
